Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate,Assessment District,Taxing Body Count,Assessment Ratio,Cook County Equalization Factor,Effective Property Tax Rate,Tax Rate Proportion,ETR Share
2006,27003,20180002,General Assistance Oak Park,0.028,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.002961396,0.006368275
2006,27003,20180000,Town Oak Park,0.126,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.013326282,0.028657238
2006,27003,10020000,Forest Preserve District of Cook County,0.057,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.006028556,0.012963989
2006,27003,10010001,Consolidated Elections,0,9.455,Oak Park,16,8.4,2.7076,2.150430072,0,0
2006,27003,10010000,Cook County,0.5,9.455,Oak Park,16,8.4,2.7076,2.150430072,0.052882073,0.1137192
2006,27002,990020000,Suburban Tuberculosis Sanitarium,0.005,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.000461042,0.001137192
2006,27002,90010000,Des Plaines Valley Mosquito Abatement Dist,0.012,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.001106501,0.002729261
2006,27002,80180000,Metropolitan Water Reclamation District of Greater Chgo,0.284,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.026187183,0.064592506
2006,27002,50760000,Oak Park Park District,0.435,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.04011065,0.098935704
2006,27002,43020000,Triton Community College District 504,0.24,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.022130014,0.054585216
2006,27002,42020000,Consolidated High School 200,2.905,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.267865376,0.660708552
2006,27002,40580000,School District 97,3.136,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.289165514,0.713246822
2006,27002,30920100,Village of Oak Park Special Services Area 1,1.39,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.128169663,0.316139376
2006,27002,30920001,Village of Oak Park Library Fund,0.521,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.048040572,0.118495406
2006,27002,30920000,Village of Oak Park,1.119,10.845,Oak Park,16,8.4,2.7076,2.466569448,0.103181189,0.25450357
